filterType,params,variance,latency,rawThresh,filtThresh,peakRaw,peakFilt
oneeuro,mc=0.1 β=0.0005 dc=0.5,1.5283,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.1 β=0.0005 dc=1,1.5220,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.1 β=0.001 dc=0.5,1.6600,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.1 β=0.001 dc=1,1.6246,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.1 β=0.003 dc=0.5,1.7333,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.1 β=0.003 dc=1,1.6473,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.1 β=0.005 dc=0.5,1.7075,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.1 β=0.005 dc=1,1.6197,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.1 β=0.01 dc=0.5,1.6677,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.1 β=0.01 dc=1,1.6194,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.1 β=0.05 dc=0.5,1.8099,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.1 β=0.05 dc=1,1.9365,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.2 β=0.00001 dc=0.5,1.4925,18.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.2 β=0.00001 dc=1,1.4926,11.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.2 β=0.0001 dc=0.5,1.5230,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.2 β=0.0001 dc=1,1.5224,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.2 β=0.0005 dc=0.5,1.6092,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.2 β=0.0005 dc=1,1.5963,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.2 β=0.001 dc=0.5,1.6567,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.2 β=0.001 dc=1,1.6270,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.2 β=0.003 dc=0.5,1.6806,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.2 β=0.003 dc=1,1.6167,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.2 β=0.005 dc=0.5,1.6643,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.2 β=0.005 dc=1,1.6014,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.2 β=0.01 dc=0.5,1.6461,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.2 β=0.01 dc=1,1.6149,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.2 β=0.05 dc=0.5,1.8095,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.2 β=0.05 dc=1,1.9414,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.5 β=0.00001 dc=0.5,1.5806,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.5 β=0.00001 dc=1,1.5805,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.5 β=0.0001 dc=0.5,1.5820,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.5 β=0.0001 dc=1,1.5804,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.5 β=0.0005 dc=0.5,1.5865,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.5 β=0.0005 dc=1,1.5794,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.5 β=0.001 dc=0.5,1.5899,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.5 β=0.001 dc=1,1.5773,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.5 β=0.003 dc=0.5,1.5950,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.5 β=0.003 dc=1,1.5738,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.5 β=0.005 dc=0.5,1.5989,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.5 β=0.005 dc=1,1.5802,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.5 β=0.01 dc=0.5,1.6176,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.5 β=0.01 dc=1,1.6191,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.5 β=0.05 dc=0.5,1.8172,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=0.5 β=0.05 dc=1,1.9597,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=1 β=0.00001 dc=0.5,1.5663,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=1 β=0.00001 dc=1,1.5663,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=1 β=0.0001 dc=0.5,1.5670,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=1 β=0.0001 dc=1,1.5669,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=1 β=0.0005 dc=0.5,1.5700,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=1 β=0.0005 dc=1,1.5697,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=1 β=0.001 dc=0.5,1.5736,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=1 β=0.001 dc=1,1.5735,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=1 β=0.003 dc=0.5,1.5880,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=1 β=0.003 dc=1,1.5908,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=1 β=0.005 dc=0.5,1.6022,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=1 β=0.005 dc=1,1.6103,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=1 β=0.01 dc=0.5,1.6361,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=1 β=0.01 dc=1,1.6617,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=1 β=0.05 dc=0.5,1.8510,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=1 β=0.05 dc=1,1.9981,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=2 β=0.00001 dc=0.5,1.6995,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=2 β=0.00001 dc=1,1.6996,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=2 β=0.0001 dc=0.5,1.7002,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=2 β=0.0001 dc=1,1.7005,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=2 β=0.0005 dc=0.5,1.7029,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=2 β=0.0005 dc=1,1.7046,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=2 β=0.001 dc=0.5,1.7064,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=2 β=0.001 dc=1,1.7098,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=2 β=0.003 dc=0.5,1.7197,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=2 β=0.003 dc=1,1.7301,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=2 β=0.005 dc=0.5,1.7327,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=2 β=0.005 dc=1,1.7499,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=2 β=0.01 dc=0.5,1.7632,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=2 β=0.01 dc=1,1.7969,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=2 β=0.05 dc=0.5,1.9557,0.00,0.00,0.00,315.12,315.12
oneeuro,mc=2 β=0.05 dc=1,2.0940,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0010,0.1773,88.00,0.00,0.00,315.12,315.12
exponential,α=0.0020,0.3359,84.00,0.00,0.00,315.12,315.12
exponential,α=0.0030,0.4778,81.00,0.00,0.00,315.12,315.12
exponential,α=0.0040,0.6047,79.00,0.00,0.00,315.12,315.12
exponential,α=0.0050,0.7181,76.00,0.00,0.00,315.12,315.12
exponential,α=0.0060,0.8194,74.00,0.00,0.00,315.12,315.12
exponential,α=0.0070,0.9098,71.00,0.00,0.00,315.12,315.12
exponential,α=0.0080,0.9905,69.00,0.00,0.00,315.12,315.12
exponential,α=0.0090,1.0625,66.00,0.00,0.00,315.12,315.12
exponential,α=0.0100,1.1266,62.00,0.00,0.00,315.12,315.12
exponential,α=0.0110,1.1837,58.00,0.00,0.00,315.12,315.12
exponential,α=0.0120,1.2345,53.00,0.00,0.00,315.12,315.12
exponential,α=0.0130,1.2797,50.00,0.00,0.00,315.12,315.12
exponential,α=0.0140,1.3197,40.00,0.00,0.00,315.12,315.12
exponential,α=0.0150,1.3553,33.00,0.00,0.00,315.12,315.12
exponential,α=0.0160,1.3868,30.00,0.00,0.00,315.12,315.12
exponential,α=0.0170,1.4146,27.00,0.00,0.00,315.12,315.12
exponential,α=0.0180,1.4392,25.00,0.00,0.00,315.12,315.12
exponential,α=0.0190,1.4609,22.00,0.00,0.00,315.12,315.12
exponential,α=0.0200,1.4799,20.00,0.00,0.00,315.12,315.12
exponential,α=0.0210,1.4966,18.00,0.00,0.00,315.12,315.12
exponential,α=0.0220,1.5113,13.00,0.00,0.00,315.12,315.12
exponential,α=0.0230,1.5240,7.00,0.00,0.00,315.12,315.12
exponential,α=0.0240,1.5351,1.00,0.00,0.00,315.12,315.12
exponential,α=0.0250,1.5447,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0260,1.5530,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0270,1.5601,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0280,1.5661,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0290,1.5712,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0300,1.5755,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0310,1.5790,0.00,0.00,0.00,315.12,315.12
exponential,α=0.0320,1.5819,0.00,0.00,0.00,315.12,315.12
