dwell_ms,pairNumber,pairVariance,filterType,tp,mean_mt,ae,we,ide,n_success,n_total,error_rate
1000,3,31.80328,oneEuro,1.3691568058576742,2.6380729166641834,568.6078183501419,50.6488726781866,3.6119354881995718,48,48,0.0
1200,1,3.2225200000000003,exponential,0.6868563463595335,4.8824000000009935,579.8686603701207,62.8835824012392,3.3535074254664687,48,48,0.0
1200,1,3.2225200000000003,oneEuro,0.9885736078545942,3.874447916664183,573.0995598086914,43.340369509841594,3.830176955421428,48,48,0.0
1200,2,17.512900000000002,exponential,1.1343103614369643,3.230970833343765,567.6764460441838,48.586315027875344,3.6649236937624554,48,48,0.0
1200,2,17.512900000000002,oneEuro,1.1892055578653977,3.0130791666706407,572.780391236854,52.14155504541884,3.583170491293167,48,48,0.0
1200,3,31.80328,exponential,1.4707236615191055,2.5423291666706405,562.8354120471818,45.563617237195906,3.739063660792661,48,48,0.0
1200,3,31.80328,oneEuro,1.3683289056196046,2.666966666671137,567.3154706839367,49.130353692648036,3.649287580330082,48,48,0.0
1400,1,3.2225200000000003,exponential,0.6617304614085242,5.222874999995033,580.9109028505683,58.23728383996336,3.4561354836257587,48,48,0.0
1400,1,3.2225200000000003,oneEuro,0.9896304118096899,3.9699666666537525,572.25858041208,40.21626023625164,3.928799747191295,48,48,0.0
1400,2,17.512900000000002,exponential,1.0736411767156857,3.4727270833378037,566.7901138150047,46.24977169845355,3.728462792167231,48,48,0.0
1400,2,17.512900000000002,oneEuro,1.1881353116840307,3.012477083330353,572.4563224908705,52.267582472513894,3.579230398343709,48,48,0.0
1400,3,31.80328,exponential,1.367959656465863,2.6893687500084447,564.1935699195752,47.78153166924389,3.6789479513715793,48,48,0.0
1400,3,31.80328,oneEuro,1.3671062645871659,2.6982666666631894,565.6358704893483,47.549640700191226,3.6888172635219765,48,48,0.0
1600,1,3.2225200000000003,exponential,0.6292280228668354,5.556189583318929,578.5232892561834,56.25882356211352,3.4961101861850756,48,48,0.0
1600,1,3.2225200000000003,oneEuro,0.9053994254262588,4.213460416659713,572.1775550417245,43.767667765460914,3.8148646402999895,48,48,0.0
1600,2,17.512900000000002,exponential,1.1034353383740978,3.5140270833447573,566.5046571399898,41.35816617579286,3.877501663766266,48,48,0.0
1600,2,17.512900000000002,oneEuro,1.1713264779224235,3.095818749991556,572.5404755099559,50.45264306576508,3.626214472713809,48,48,0.0
1600,3,31.80328,exponential,1.223575145819216,2.9054166666616994,563.3778968033267,52.391098078279015,3.554995621576169,48,48,0.0
1600,3,31.80328,oneEuro,1.2814722934929685,2.8658166666701432,564.5459138403921,48.04504004026869,3.6724646565681627,48,48,0.0
1800,1,3.2225200000000003,exponential,0.5884040679319207,5.69741249999404,576.3990901358462,62.56146398294515,3.352380691682667,48,48,0.0
1800,1,3.2225200000000003,oneEuro,0.8775495740669752,4.2138708333273724,571.4827728381657,47.715177371187394,3.6978805549596854,48,48,0.0
1800,2,17.512900000000002,exponential,1.0408758021267492,3.6799416666651763,566.0295520865344,42.799791053204935,3.830362234069762,48,48,0.0
1800,2,17.512900000000002,oneEuro,1.1603165759652376,3.2170458333219094,571.8956493289464,46.51519613033409,3.732791606043312,48,48,0.0
1800,3,31.80328,exponential,1.2301332168837318,3.113695833340287,564.9848704756599,42.72403341352099,3.8302606718643593,48,48,0.0
1800,3,31.80328,oneEuro,1.1827236122213354,3.0423624999920524,564.1486905894672,50.77282046392115,3.5982739656773326,48,48,0.0
2000,1,3.2225200000000003,exponential,0.585092152335787,5.938393749997019,575.5123204191273,56.89381737625435,3.474507580603141,48,48,0.0
2000,1,3.2225200000000003,oneEuro,0.7981780859548312,4.581562499995033,572.0535040996332,49.2574075376705,3.6569027869284665,48,48,0.0
2000,2,17.512900000000002,exponential,0.9723726806973875,3.7770021276651544,568.2203987680784,48.35087820851852,3.672653683877502,47,48,0.02083333333333337
2000,2,17.512900000000002,oneEuro,1.131385894656478,3.392862499989569,570.8406084048951,42.89816860800034,3.8386367749971133,48,48,0.0
2000,3,31.80328,exponential,1.0648675004935728,3.56470833333085,564.6760213927333,43.808362191334815,3.7959420529026318,48,48,0.0
2000,3,31.80328,oneEuro,1.1337329777586718,3.2211041666542486,564.4757854073545,48.7893774962128,3.6518720185317863,48,48,0.0
