GlobalTrialNumber,PairNumber,PairVariance,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,ActualAmplitude,StartX,StartY,SelectionX,SelectionY,TargetX,TargetY,TrialStartTime,MovementStartTime,SelectionTime
47,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,6,131.07000000000002,254.43,135,6,8.2850,438.76,731.50,131.07,581.13,543.25,551.59,310.98,712176.60,712745.20,721030.20
48,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,7,131.07000000000002,254.43,315,7,11.0775,466.49,551.59,565.41,884.08,238.21,731.50,385.50,721552.60,722712.50,733790.00
49,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,0,77.10000000000001,192.75,0,0,2.3067,180.51,731.50,385.50,911.75,395.24,924.25,385.50,765764.90,766962.30,769269.00
50,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,1,77.10000000000001,192.75,180,1,13.2675,389.13,924.25,385.50,535.19,378.10,731.50,385.50,769776.70,770094.40,783361.90
51,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,2,77.10000000000001,192.75,45,2,2.7007,343.20,538.75,385.50,858.75,509.54,675.04,521.79,783881.00,784912.40,787613.10
52,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,3,77.10000000000001,192.75,225,3,20.7336,411.53,867.79,521.79,568.63,239.21,731.50,385.50,788118.90,789047.40,809781.00
53,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,4,77.10000000000001,192.75,90,4,2.4705,366.16,595.21,249.21,730.22,589.56,595.21,441.96,810298.30,811111.00,813581.50
54,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,5,77.10000000000001,192.75,270,5,4.4499,356.24,731.50,578.25,751.24,222.56,731.50,385.50,814093.20,814716.90,819166.80
55,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,6,77.10000000000001,192.75,135,6,6.0547,346.42,731.50,192.75,621.04,521.09,595.21,329.04,819676.10,819677.50,825732.20
56,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,7,77.10000000000001,192.75,315,7,6.7894,391.19,595.21,521.79,860.49,234.31,731.50,385.50,826240.20,826245.30,833034.70
57,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,0,77.10000000000001,254.43,0,0,4.2866,243.15,731.50,385.50,973.61,408.00,985.93,385.50,839862.20,841595.30,845881.90
58,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,1,77.10000000000001,254.43,180,1,4.6567,499.17,985.93,385.50,487.27,363.04,731.50,385.50,846391.60,846393.60,851050.30
59,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,2,77.10000000000001,254.43,45,2,4.4041,475.11,477.07,385.50,907.25,587.18,656.98,565.41,851559.20,852313.60,856717.70
60,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,3,77.10000000000001,254.43,225,3,5.2042,530.08,911.41,565.41,530.54,196.73,731.50,385.50,857228.10,858112.70,863316.90
61,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,4,77.10000000000001,254.43,90,4,2.9279,458.53,551.59,205.59,725.19,629.99,551.59,460.02,863824.20,864717.40,867645.30
62,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,5,77.10000000000001,254.43,270,5,3.1644,484.42,731.50,639.93,756.13,156.14,731.50,385.50,868156.00,868814.30,871978.70
63,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,6,77.10000000000001,254.43,135,6,5.9459,487.77,731.50,131.07,528.94,574.79,551.59,310.98,872480.80,872484.40,878430.30
64,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,7,77.10000000000001,254.43,315,7,8.2887,474.09,551.59,565.41,887.73,231.09,731.50,385.50,878932.90,878948.10,887236.80
65,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,0,104.08500000000001,192.75,0,0,1.7401,180.07,731.50,385.50,910.87,401.37,924.25,385.50,895165.00,896562.60,898302.70
66,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,1,104.08500000000001,192.75,180,1,3.5669,395.56,924.25,385.50,530.69,425.26,731.50,385.50,898811.80,899362.20,902929.10
67,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,2,104.08500000000001,192.75,45,2,1.9014,393.52,538.75,385.50,901.89,537.13,675.04,521.79,903439.40,903695.60,905597.00
68,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,3,104.08500000000001,192.75,225,3,2.1336,361.42,867.79,521.79,596.47,283.03,731.50,385.50,906102.80,906962.00,909095.60
69,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,4,104.08500000000001,192.75,90,4,2.8146,370.63,595.21,249.21,722.25,597.39,595.21,441.96,909607.50,910315.80,913130.40
70,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,5,104.08500000000001,192.75,270,5,1.4502,398.22,731.50,578.25,692.72,181.92,731.50,385.50,913648.60,914129.40,915579.60
71,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,6,104.08500000000001,192.75,135,6,2.6845,363.33,731.50,192.75,583.84,524.73,595.21,329.04,916083.50,917195.30,919879.80
72,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,2,7,104.08500000000001,192.75,315,7,3.7019,363.52,595.21,521.79,864.57,277.67,731.50,385.50,920384.50,920878.90,924580.80
73,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,0,104.08500000000001,254.43,0,0,6.9044,269.40,731.50,385.50,999.27,415.07,985.93,385.50,931247.20,932145.30,939049.70
74,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,1,104.08500000000001,254.43,180,1,4.3672,472.06,985.93,385.50,514.17,402.20,731.50,385.50,939558.70,940645.70,945012.90
75,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,2,104.08500000000001,254.43,45,2,3.5991,484.55,477.07,385.50,932.45,551.07,656.98,565.41,945520.00,946698.50,950297.60
76,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,3,104.08500000000001,254.43,225,3,4.6368,497.02,911.41,565.41,550.46,223.73,731.50,385.50,950807.40,951329.20,955966.00
77,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,4,104.08500000000001,254.43,90,4,4.0003,450.71,551.59,205.59,731.90,618.66,551.59,460.02,956476.90,956829.60,960829.90
78,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,5,104.08500000000001,254.43,270,5,2.5334,529.86,731.50,639.93,739.72,110.14,731.50,385.50,961370.60,961695.70,964229.10
79,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,6,104.08500000000001,254.43,135,6,4.3099,459.27,731.50,131.07,590.75,568.24,551.59,310.98,964735.90,965695.70,970005.60
80,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,3,7,104.08500000000001,254.43,315,7,2.1020,478.00,551.59,565.41,897.87,235.89,731.50,385.50,970512.50,971528.20,973630.20
81,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,0,131.07000000000002,192.75,0,0,2.1372,195.22,731.50,385.50,926.70,388.85,924.25,385.50,979034.50,979578.80,981716.00
82,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,1,131.07000000000002,192.75,180,1,3.5668,371.16,924.25,385.50,554.35,416.07,731.50,385.50,982230.80,982979.50,986546.30
83,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,2,131.07000000000002,192.75,45,2,1.9338,395.63,538.75,385.50,894.78,558.04,675.04,521.79,987049.40,988448.10,990381.90
84,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,3,131.07000000000002,192.75,225,3,3.0675,361.23,867.79,521.79,632.56,247.66,731.50,385.50,990892.00,991913.10,994980.60
85,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,4,131.07000000000002,192.75,90,4,1.9366,335.26,595.21,249.21,750.34,546.41,595.21,441.96,995488.40,996412.60,998349.20
86,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,5,131.07000000000002,192.75,270,5,1.5409,418.54,731.50,578.25,743.76,159.89,731.50,385.50,998860.50,999480.90,1001021.80
87,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,6,131.07000000000002,192.75,135,6,1.9764,392.91,731.50,192.75,621.36,569.91,595.21,329.04,1001532.20,1002477.90,1004454.30
88,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,7,131.07000000000002,192.75,315,7,2.2724,389.10,595.21,521.79,874.71,251.10,731.50,385.50,1004959.90,1005811.90,1008084.30
89,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,0,131.07000000000002,254.43,0,0,2.0010,282.54,731.50,385.50,1013.86,395.56,985.93,385.50,1014129.40,1015478.10,1017479.10
90,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,1,131.07000000000002,254.43,180,1,3.9373,506.29,985.93,385.50,480.70,418.25,731.50,385.50,1017997.20,1018500.90,1022438.20
91,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,2,131.07000000000002,254.43,45,2,2.1061,429.65,477.07,385.50,874.32,549.19,656.98,565.41,1022944.10,1023962.80,1026068.90
92,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,3,131.07000000000002,254.43,225,3,3.5691,470.88,911.41,565.41,588.60,222.60,731.50,385.50,1026575.90,1027128.30,1030697.40
93,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,4,131.07000000000002,254.43,90,4,3.2008,475.76,551.59,205.59,764.99,630.81,551.59,460.02,1031206.40,1031861.40,1035062.20
94,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,5,131.07000000000002,254.43,270,5,3.0461,529.59,731.50,639.93,768.44,111.63,731.50,385.50,1035601.00,1036595.30,1039641.40
95,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,6,131.07000000000002,254.43,135,6,3.1989,448.07,731.50,131.07,581.48,553.28,551.59,310.98,1040150.40,1040728.90,1043927.80
96,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,7,131.07000000000002,254.43,315,7,2.0336,531.90,551.59,565.41,923.11,184.77,731.50,385.50,1044439.40,1045095.50,1047129.10
97,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,0,77.10000000000001,192.75,0,0,1.7339,187.55,731.50,385.50,919.03,387.89,924.25,385.50,1055812.70,1056479.30,1058213.20
98,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,1,77.10000000000001,192.75,180,1,3.7029,367.98,924.25,385.50,557.35,413.70,731.50,385.50,1058718.30,1058946.10,1062649.00
99,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,2,77.10000000000001,192.75,45,2,3.4243,365.53,538.75,385.50,877.30,523.31,675.04,521.79,1063158.70,1063160.80,1066585.10
100,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,3,77.10000000000001,192.75,225,3,3.1329,373.26,867.79,521.79,587.03,275.84,731.50,385.50,1067094.30,1067249.60,1070382.50
101,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,4,77.10000000000001,192.75,90,4,3.1354,357.41,595.21,249.21,750.45,571.14,595.21,441.96,1070892.60,1070948.70,1074084.10
102,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,5,77.10000000000001,192.75,270,5,2.0409,416.21,731.50,578.25,740.88,162.15,731.50,385.50,1074623.60,1074845.20,1076886.10
103,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,6,77.10000000000001,192.75,135,6,2.6826,357.88,731.50,192.75,600.41,525.75,595.21,329.04,1077396.50,1077881.60,1080564.20
104,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,7,77.10000000000001,192.75,315,7,4.5494,382.24,595.21,521.79,868.42,254.47,731.50,385.50,1081080.00,1081446.90,1085996.30
105,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,1,0,77.10000000000001,254.43,0,0,2.2372,284.14,731.50,385.50,1015.54,377.67,985.93,385.50,1092266.40,1093096.00,1095333.20
106,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,1,1,77.10000000000001,254.43,180,1,4.6984,492.89,985.93,385.50,493.08,391.91,731.50,385.50,1095844.00,1096164.70,1100863.10
107,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,1,2,77.10000000000001,254.43,45,2,8.4332,466.54,477.07,385.50,905.51,570.16,656.98,565.41,1101372.60,1101695.50,1110128.70
108,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,1,3,77.10000000000001,254.43,225,3,3.7321,528.29,911.41,565.41,541.35,188.39,731.50,385.50,1110639.50,1110797.50,1114529.60
109,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,1,4,77.10000000000001,254.43,90,4,3.4311,476.49,551.59,205.59,741.75,642.50,551.59,460.02,1115039.40,1115348.60,1118779.70
110,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,1,5,77.10000000000001,254.43,270,5,2.2543,539.73,731.50,639.93,744.17,100.35,731.50,385.50,1119287.10,1119332.60,1121586.90
