GlobalTrialNumber,PairNumber,PairVariance,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,ActualAmplitude,StartX,StartY,SelectionX,SelectionY,TargetX,TargetY,TrialStartTime,MovementStartTime,SelectionTime
81,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,0,99.45,146.25,0,0,1.3839,138.56,640.00,292.50,778.45,286.94,786.25,292.50,1042174.80,1044166.40,1045550.30
82,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,1,99.45,146.25,180,1,2.7329,281.14,786.25,292.50,507.54,255.64,640.00,292.50,1046135.90,1046277.30,1049010.20
83,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,2,99.45,146.25,45,2,4.7859,236.29,493.75,292.50,700.84,406.29,597.16,395.91,1049567.30,1050033.70,1054819.60
84,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,3,99.45,146.25,225,3,4.3296,300.37,743.41,395.91,535.13,179.48,640.00,292.50,1055397.70,1055441.70,1059771.30
85,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,4,99.45,146.25,90,4,2.7026,243.39,536.59,189.09,627.22,414.97,536.59,335.34,1060326.60,1060477.20,1063179.80
86,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,5,99.45,146.25,270,5,11.0094,338.24,640.00,438.75,638.88,100.51,640.00,292.50,1063759.60,1065178.70,1076188.10
87,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,6,99.45,146.25,135,6,2.5997,283.92,640.00,146.25,531.26,408.52,536.59,249.66,1076776.00,1078170.50,1080770.20
88,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,4,7,99.45,146.25,315,7,3.5596,330.80,536.59,395.91,770.25,161.75,640.00,292.50,1081353.10,1082479.00,1086038.60
89,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,0,99.45,193.05,0,0,4.9544,191.47,640.00,292.50,829.92,268.14,833.05,292.50,1091821.90,1092657.20,1097611.60
90,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,1,99.45,193.05,180,1,5.4295,356.91,833.05,292.50,476.44,277.73,640.00,292.50,1098192.90,1098781.60,1104211.10
91,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,2,99.45,193.05,45,2,3.1141,383.26,446.95,292.50,802.14,436.46,583.46,429.01,1104784.20,1105560.50,1108674.60
92,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,3,99.45,193.05,225,3,5.3524,350.29,776.51,429.01,520.17,190.27,640.00,292.50,1109253.20,1109620.50,1114972.90
93,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,4,99.45,193.05,90,4,3.1876,368.04,503.49,155.99,666.36,486.04,503.49,349.04,1115560.80,1115603.30,1118790.90
94,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,5,99.45,193.05,270,5,4.0943,418.77,640.00,485.55,655.54,67.07,640.00,292.50,1119381.10,1120143.70,1124238.00
95,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,6,99.45,193.05,135,6,4.7917,350.96,640.00,99.45,518.99,428.88,503.49,235.96,1124821.80,1126136.20,1130927.90
96,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,5,7,99.45,193.05,315,7,4.8010,368.11,503.49,429.01,785.25,192.11,640.00,292.50,1131504.40,1132530.10,1137331.10
97,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,0,58.5,146.25,0,0,1.9388,165.25,640.00,292.50,804.53,277.09,786.25,292.50,1145207.80,1145663.90,1147602.70
98,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,1,58.5,146.25,180,1,4.2176,296.38,786.25,292.50,489.91,297.43,640.00,292.50,1148186.60,1148228.70,1152446.30
99,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,2,58.5,146.25,45,2,6.9802,254.56,493.75,292.50,729.54,388.43,597.16,395.91,1153026.60,1153072.80,1160053.00
100,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,3,58.5,146.25,225,3,4.0824,292.44,743.41,395.91,541.22,184.64,640.00,292.50,1160602.80,1161022.20,1165104.60
101,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,4,58.5,146.25,90,4,5.1934,283.23,536.59,189.09,643.70,451.28,536.59,335.34,1165678.90,1166055.20,1171248.60
102,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,5,58.5,146.25,270,5,5.8909,276.69,640.00,438.75,650.63,162.26,640.00,292.50,1171797.40,1172297.90,1178188.80
103,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,6,58.5,146.25,135,6,6.6107,243.65,640.00,146.25,546.99,371.45,536.59,249.66,1178782.20,1178825.90,1185436.60
104,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,0,7,58.5,146.25,315,7,6.5029,279.34,536.59,395.91,744.68,209.56,640.00,292.50,1186022.40,1186060.00,1192562.90
105,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,1,0,58.5,193.05,0,0,2.7105,207.38,640.00,292.50,846.68,275.50,833.05,292.50,1198343.70,1198742.90,1201453.40
106,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,1,1,58.5,193.05,180,1,5.9315,404.85,833.05,292.50,428.26,299.28,640.00,292.50,1202049.30,1202089.20,1208020.70
107,2,7,"Medium Variance (~7.0) - Balanced",0,exponential,9,7.0109,504.11,1,2,58.5,193.05,45,2,3.1905,354.65,446.95,292.50,779.66,415.29,583.46,429.01,1208580.90,1209823.90,1213014.40
