GlobalTrialNumber,PairNumber,PairVariance,PairDescription,FilterPhase,FilterType,FilterRank,FilterVariance,FilterLatency,LayoutIndex,TrialInLayout,TargetSize,Amplitude,Direction,DirectionIndex,MovementTime,ActualAmplitude,StartX,StartY,SelectionX,SelectionY,TargetX,TargetY,TrialStartTime,MovementStartTime,SelectionTime
37,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,4,107.61000000000001,158.25,90,4,2.2572,289.21,571.10,204.60,660.93,479.51,571.10,362.85,588394.10,589759.30,592016.50
38,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,5,107.61000000000001,158.25,270,5,8.7074,288.45,683.00,474.75,681.21,186.31,683.00,316.50,592558.50,595344.50,604051.90
39,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,6,107.61000000000001,158.25,135,6,6.2913,310.36,683.00,158.25,590.03,454.36,571.10,270.15,604594.80,606157.20,612448.50
40,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,4,7,107.61000000000001,158.25,315,7,10.7953,315.96,571.10,428.40,817.21,230.25,683.00,316.50,612987.10,614174.20,624969.50
41,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,0,107.61000000000001,208.89000000000001,0,0,1.4171,232.29,683.00,316.50,915.28,314.54,891.89,316.50,651635.20,652762.80,654179.90
42,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,1,107.61000000000001,208.89000000000001,180,1,8.1497,430.16,891.89,316.50,461.92,303.52,683.00,316.50,654733.80,656266.70,664416.40
43,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,2,107.61000000000001,208.89000000000001,45,2,2.7420,396.76,474.11,316.50,829.38,493.14,621.82,464.21,664948.30,666266.60,669008.60
44,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,3,107.61000000000001,208.89000000000001,225,3,5.3346,399.35,830.71,464.21,541.49,188.83,683.00,316.50,669556.00,672943.60,678278.20
45,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,4,107.61000000000001,208.89000000000001,90,4,3.9732,372.87,535.29,168.79,683.63,510.89,535.29,377.68,678813.90,680391.20,684364.40
46,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,5,107.61000000000001,208.89000000000001,270,5,11.2785,375.31,683.00,525.39,653.03,151.28,683.00,316.50,684906.80,686606.60,697885.10
47,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,6,107.61000000000001,208.89000000000001,135,6,3.1229,401.77,683.00,107.61,541.81,483.75,535.29,255.32,698454.40,699780.40,702903.30
48,1,1,"Very Low Variance (~1.0) - Maximum Stability",0,exponential,1,1.0276,1092.43,5,7,107.61000000000001,208.89000000000001,315,7,7.6095,418.78,535.29,464.21,848.32,186.02,683.00,316.50,703440.80,704621.50,712231.00
49,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,0,63.300000000000004,158.25,0,0,5.1597,175.97,683.00,316.50,858.93,312.74,841.25,316.50,736210.00,736290.60,741450.30
50,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,1,63.300000000000004,158.25,180,1,1.8767,327.78,841.25,316.50,513.48,314.19,683.00,316.50,742002.90,743369.10,745245.80
51,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,2,63.300000000000004,158.25,45,2,7.5147,311.37,524.75,316.50,804.78,452.63,636.65,428.40,745780.40,747000.60,754515.30
52,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,3,63.300000000000004,158.25,225,3,8.7513,320.31,794.90,428.40,560.85,209.72,683.00,316.50,755063.20,756006.90,764758.20
53,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,4,63.300000000000004,158.25,90,4,6.3210,305.41,571.10,204.60,663.28,495.77,571.10,362.85,765282.00,766764.60,773085.60
54,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,5,63.300000000000004,158.25,270,5,8.0495,313.03,683.00,474.75,669.58,162.01,683.00,316.50,773621.20,774641.20,782690.70
55,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,6,63.300000000000004,158.25,135,6,7.1606,299.36,683.00,158.25,573.28,436.77,571.10,270.15,783252.90,784711.90,791872.50
56,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,0,7,63.300000000000004,158.25,315,7,4.7795,307.61,571.10,428.40,792.53,214.86,683.00,316.50,792419.40,793412.20,798191.70
57,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,0,63.300000000000004,208.89000000000001,0,0,11.9757,200.53,683.00,316.50,882.23,339.29,891.89,316.50,814333.40,814366.50,826342.20
58,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,1,63.300000000000004,208.89000000000001,180,1,1.5861,417.81,891.89,316.50,474.10,320.29,683.00,316.50,826886.40,828182.40,829768.50
59,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,2,63.300000000000004,208.89000000000001,45,2,10.4540,368.87,474.11,316.50,814.42,458.82,621.82,464.21,830312.00,831904.70,842358.70
60,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,3,63.300000000000004,208.89000000000001,225,3,4.7977,398.18,830.71,464.21,566.58,166.25,683.00,316.50,842901.20,843842.60,848640.30
61,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,4,63.300000000000004,208.89000000000001,90,4,6.2446,372.21,535.29,168.79,685.94,509.15,535.29,377.68,849206.50,850441.70,856686.30
62,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,5,63.300000000000004,208.89000000000001,270,5,9.8219,420.59,683.00,525.39,682.86,104.80,683.00,316.50,857234.40,858209.40,868031.30
63,1,1,"Very Low Variance (~1.0) - Maximum Stability",1,oneEuro,1,1.0410,383.47,1,6,63.300000000000004,208.89000000000001,135,6,10.9082,395.40,683.00,107.61,541.63,476.87,535.29,255.32,868589.20,869704.30,880612.50
